name	frequency	color
Noah	5	steelblue
Caspar	5	steelblue
Aaron	1	steelblue
Matt	8	steelblue
James	5	steelblue
Will	4	steelblue
Ethan	5	steelblue
Mika	3	pink
Sav	4	pink
Izzy	3	pink
Tahía	2	pink
Eug	5	pink
Megan	3	pink
Ro	3	pink
Claire	5	pink
Raq	5	pink
Ada	0	pink
